absorb vt.吸收;使专心
abstract n.摘要
abundant a.丰富的;大量的
abuse vt.滥用;虐待
academic a.学院的;学术的
accelerate vt.(使)加快;促进
access n.接近;通道,入口
accidental a.偶然的;非本质的
accommodate vt.容纳;供应,供给
accommodation n.招待设备;预定铺位
accompany vt.陪伴,陪同;伴随
accomplish vt.达到(目的);完成
accordance n.一致;和谐;授予
accordingly ad.因此,所以;照着
account n.记述;解释;帐目
accumulate vt.积累
accuracy n.准确(性);准确度
accurate a.准确的,正确无误的
accustomed a.惯常的;习惯的
acid n.酸;酸的,酸性的
acquaintance n.认识;了解;熟人
acquire vt.取得;获得;学到
acre n.英亩(=6.07亩)
adequate a.足够的;可以胜任的
advisable n.明智的;可取的
affair n.事情,事件;事务
affection n.慈爱,爱;爱慕
aggressive a.侵略的;好斗的
alike a.同样的,相同的
alloy n.合金;(金属的)成色
alphabet n.字母表,字母系统
alter vt.改变,变更;改做
alternative n.替换物;取舍,抉择
altitude n.高,高度;高处
aluminium n.铝
amongst prep在…之中(=among)
amuse vt.逗…乐;给…娱乐
analyse vt.分析,分解,解析
analysis n.分析,分解,解析
ancestor n.祖宗,祖先
anchor n.锚
ancient a.古代的,古老的
ankle n.踝,踝节部
announce vt.宣布,宣告,发表
annoy vt.使恼怒;打搅
annual a.每年的
anticipate vt.预料,预期,期望
anxiety n.焦虑,忧虑;渴望
anxious a.忧虑的;渴望的
apart ad.相隔;分开;除去
apparatus n.器械,仪器;器官
appeal vi.n.呼吁;申述
appetite n.食欲,胃口;欲望
applicable a.能应用的;适当的
application n.请求,申请;施用
appint vt.任命,委任;约定
appreciate vt.欣赏;领会;感谢
approval n.赞成,同意;批准
approve vt.赞成,称许;批准
approximate a.近似的
arbitrary a.随心所欲的;专断的
architecture n.建筑学;建筑式样
arise vi.出现;由…引起
arithmetic n.算术,四则运算
arouse vt.引起,唤起;唤醒
article n.条款;物品
artificial a.人工的;娇揉造作的
artistic a.艺术的;艺术家的
ash n.灰,灰末;骨灰
aspect n.方面;样子,外表
assess vt.对(财产等)估价
associate vi.交往
association n.协会,团体;联合
assure vt.使确信;向…保证
astonish vt.使惊讶,使吃惊
astronaut n.宇宙航行员,宇航员
attain vt.达到,获得,完成
attend vt.出席;照顾,护理
authority n.当局,官方;权力
