cabin n.小屋;船舱,机舱
cabinet n.橱,柜;内阁
cable n.缆,索;电缆;电报
cage n.笼;鸟笼,囚笼
calm a.静的,平静的
camel n.骆驼
camp n.野营,营地,兵营
campaign n.战役;运动
campus n.校园,学校场地
canal n.运河;沟渠;管
cancer n.癌,癌症,肿瘤
candidate n.候选人;投考者
candle n.蜡烛;烛形物;烛光
cap n.帽子,便帽;帽状物
capable a.有能力的,有才能的
capacity n.容量;能力;能量
cargo n.船货,货物
carpenter n.木工,木匠
carpet n.地毯,毡毯,毛毯
carriage n.客车厢;四轮马车
cart n.二轮运货马车
cassette n.盒式录音带;盒子
cast vt.投,扔,抛;浇铸
castle n.城堡;巨大建筑物
casual a.偶然的;随便的
catalog n.目录,目录册
cattle n.牛;牲口,家畜
cave n.山洞,洞穴,窑洞
cease vi.vi.n.停止,停息
ceiling n. 天花板,顶蓬
cement n.水泥;胶泥 vt.粘结
cent n.分;分币;百
centimetre n.公分,厘米
ceremony n.典礼,仪式;礼节
chairman n.主席;议长,会长
chalk n.白垩;粉笔
chamber n.会议室;房间;腔
champion n.冠军,得胜者
characteristic a.特有的 n.特性
charge vt.索价;控告 n.费用
chart n.图,图表;海图
chase n.追逐,追赶,追求
cheat vt.骗取;哄 vi.行骗
cheek n.面颊,脸蛋
cheese n.乳酪,干酪
chemical a.化学的 n.化学制品
chemist n.化学家;药剂师
chemistry n.化学
cheque n.支票
chess n.棋;国际象棋
chest n.胸腔,胸膛;箱子
chew vt.咀嚼,嚼碎
chief a.主要的;首席的
chill vt.使变冷 n.寒冷
chimney n.烟囱,烟筒;玻璃罩
chin n.颏,下巴
china n.瓷器,瓷料
choke vt.使窒息;塞满
chop vt.砍,劈;切细vi.砍
church n.教堂,礼拜堂;教会
circuit n.电路;环行;巡行
circulate vt.使循环 vi.循环
circumference n.圆周,周长,圆周线
circumstance n.情况,条件;境遇
citizen n.公民;市民,居民
civil a.公民的;文职的
civilization n.文明,文化;开化
civilize vt.使文明;教育
claim vt.声称,主张;索取
