nail n.钉;指甲 vt.钉
naked a.裸体的;无遮敝的
namely ad.即,也就是
narrow a.狭的,狭窄的
nation n.民族;国家
national a.民族的;国家的
nationality n.国籍;民族,族
natural a.自然界的;天然的
naturally ad.自然地;天然地
nature n.大自然;本性;性质
naval n.海军的,军舰的
navigation n.航行;航海术;导航
nearly ad.差不多;密切地
neat a.整洁的;熟练的
necessarily ad.必然,必定
necessity n.必要性;必然性
needle n.针,缝补,编织针
negative a.否定的;消极的
neglect vt.忽视,忽略;疏忽
neither a.(两者)都不的
nephew n.侄子,外甥
nerve n.神经;勇敢,胆量
nervous a.神经的;易激动的
nest n.巢,窝,穴
neutral a.中立的;中性的
nevertheless conj.然而 ad.仍然
niece n.侄女,外甥女
nitrogen n.氮
noble a.贵族的;高尚的
nod vt.点(头);点头表示
nise n.喧闹声;响声;噪声
nisy a.嘈杂的;喧闹的
nonsense n.胡说,废话
noticeable a.显而易见的;重要的
noun n.名词
novel n.小说 a.新的
nowadays ad.现今,现在
nowhere ad.任何地方都不
nuclear a.原子核的;核心的
nucleus n.核,核心;(原子)核
nuisance n.讨厌的东西
numerous a.为数众多的;许多
nursery n.托儿所;苗圃
nut n.坚果,干果;螺母
nylon n.尼龙,耐纶
